setup_id,count_financial_results,max_severity_financial_results,sentiment_score_financial_results,profit_warning,count_corporate_actions,max_severity_corporate_actions,sentiment_score_corporate_actions,capital_raise,count_governance,max_severity_governance,sentiment_score_governance,board_change,count_corporate_events,max_severity_corporate_events,sentiment_score_corporate_events,contract_award,merger_acquisition,count_other_signals,max_severity_other_signals,sentiment_score_other_signals,broker_recommendation,credit_rating_change,posts_avg_sentiment,post_count,community_sentiment_score,bull_bear_ratio,rumor_intensity,trusted_user_sentiment,posts_relevance,engagement_score,unique_users,contrarian_signal_numeric,recommendation_count,buy_recommendations,sell_recommendations,hold_recommendations,coverage_breadth,consensus_rating,recent_upgrades,recent_downgrades,analyst_conviction_score,label
PAY_2025-02-19,1,0.0,0.5,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-0.33333334,3,0.0,1.0,0.2,0.0,0.5,0.3,3,0,87,203,87,0,3,3.5,0,3,0.25,negative
WYN_2025-02-11,1,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.8,0.5,1,0,16,16,0,0,2,2.5,1,0,0.5,positive
BRCK_2025-01-23,0,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,1.0,0.0,0.0,0.8,0.5,1,0,13,0,0,0,1,3.0,0,0,0.0,neutral
BOOM_2025-01-15,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.36834094,219,0.0,0.8181818,0.3909091,0.0,0.6727273,0.56363636,130,0,45,0,0,0,1,3.0,0,0,0.0,negative
PZC_2024-12-20,1,0.0,0.0,0,0,0.0,0.0,0,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.8,0.5,1,0,57,114,0,57,3,2.5,0,0,0.5,neutral
BIRG_2024-12-19,0,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.17777778,45,0.0,0.0,0.06666667,0.0,0.5,0.4,35,0,58,58,0,0,2,1.0,1,0,1.0,neutral
EDEN_2024-12-13,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0,0.0,0.0,0,0,0.33333334,3,0.0,0.0,0.0,0.0,0.5,0.3,2,0,26,0,0,0,1,3.0,0,0,0.0,neutral
CNA_2024-11-21,0,0.0,0.0,0,2,0.0,0.0,0,1,0.3,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.2777778,18,0.0,1.0,0.2,0.0,0.7,0.5,14,0,112,954,0,594,4,2.0,0,0,0.75,positive
CABP_2024-11-07,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.27027026,74,0.0,0.75,0.575,0.0,0.75,0.625,53,0,51,85,0,102,3,2.5,5,0,0.5,negative
ITM_2024-10-30,0,0.0,0.0,0,2,0.0,0.0,0,4,0.2,0.1,1,0,0.0,0.0,0,0,1,0.0,0.0,0,0,,,,,,,,,,,99,627,264,561,3,2.5,0,0,0.5,negative
GROW_2024-10-29,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.0,0,1,0,0.0,0.0,0,0,0.23076923,13,0.0,1.0,0.2,0.0,0.6,0.5,6,0,132,528,0,132,4,2.5,0,0,0.5,negative
